"","CoreArea","variable","value"
"382","Hanna","sip50_5_15",20.767101792
"383","Hanna","sip95_0_5",37.2991881957
"384","Hanna","sip95_5_15",37.0765569034
"385","Heart Mountain","bdmn_0_5",1.30381390713
"386","Heart Mountain","bdmn_5_15",1.32427703561
"387","Heart Mountain","bdp5_0_5",1.11223165371
"388","Heart Mountain","bdp5_5_15",1.16407965044
"389","Heart Mountain","bdp50_0_5",1.28361512506
"390","Heart Mountain","bdp50_5_15",1.30811594839
"391","Heart Mountain","bdp95_0_5",1.45164352466
"392","Heart Mountain","bdp95_5_15",1.45741950256
"393","Heart Mountain","clmn_0_5",15.9243160191
"394","Heart Mountain","clmn_5_15",17.5345689654
"395","Heart Mountain","clp5_0_5",7.6055782584
"396","Heart Mountain","clp5_5_15",8.98185840592
"397","Heart Mountain","clp50_0_5",14.8438777035
"398","Heart Mountain","clp50_5_15",16.4649985976
"399","Heart Mountain","clp95_0_5",24.9874416447
"400","Heart Mountain","clp95_5_15",26.0133289996
"401","Heart Mountain","samn_0_5",51.715443165
"402","Heart Mountain","samn_5_15",50.5136540029
"403","Heart Mountain","sap5_0_5",23.6813346824
"404","Heart Mountain","sap5_5_15",23.7546376268
"405","Heart Mountain","sap50_0_5",50.8505173015
"406","Heart Mountain","sap50_5_15",49.9368150375
"407","Heart Mountain","sap95_0_5",71.1920096776
"408","Heart Mountain","sap95_5_15",69.1271366373
"409","Heart Mountain","simn_0_5",30.9217510768
"410","Heart Mountain","simn_5_15",30.2877202791
"411","Heart Mountain","sip5_0_5",10.6149583616
"412","Heart Mountain","sip5_5_15",12.5061284564
"413","Heart Mountain","sip50_0_5",28.8405290708
"414","Heart Mountain","sip50_5_15",28.330231534
"415","Heart Mountain","sip95_0_5",41.3444242318
"416","Heart Mountain","sip95_5_15",40.5936201668
"417","Hyattville","bdmn_0_5",1.31174523637
"418","Hyattville","bdmn_5_15",1.33004403709
"419","Hyattville","bdp5_0_5",1.13498425637
"420","Hyattville","bdp5_5_15",1.12697672257
"421","Hyattville","bdp50_0_5",1.29028116402
"422","Hyattville","bdp50_5_15",1.31899857638
"423","Hyattville","bdp95_0_5",1.48258780673
"424","Hyattville","bdp95_5_15",1.47996656623
"425","Hyattville","clmn_0_5",15.7173871011
"426","Hyattville","clmn_5_15",16.5797509384
"427","Hyattville","clp5_0_5",5.45001133676
"428","Hyattville","clp5_5_15",6.3684324605
"429","Hyattville","clp50_0_5",14.3838516329
"430","Hyattville","clp50_5_15",15.4143939296
"431","Hyattville","clp95_0_5",27.8075669662
"432","Hyattville","clp95_5_15",28.030754347
